,Word,Positive
39679,INVENTIONS,1
39680,INVENTIVE,1
39682,INVENTIVENESS,1
39684,INVENTOR,1
39688,INVENTORS,1
42082,LEADERSHIP,1
42085,LEADING,1
43693,LOYAL,1
43749,LUCRATIVE,1
45729,MERITORIOUS,1
51700,OPPORTUNITIES,1
51701,OPPORTUNITY,1
51743,OPTIMISTIC,1
52277,OUTPERFORM,1
52279,OUTPERFORMED,1
52282,OUTPERFORMING,1
52283,OUTPERFORMS,1
54779,PERFECT,1
54782,PERFECTED,1
54795,PERFECTLY,1
54798,PERFECTS,1
56366,PLEASANT,1
56369,PLEASANTLY,1
56375,PLEASED,1
56381,PLEASURE,1
56417,PLENTIFUL,1
57025,POPULAR,1
57027,POPULARITY,1
57180,POSITIVE,1
57181,POSITIVELY,1
57777,PREEMINENCE,1
57779,PREEMINENT,1
57925,PREMIER,1
57926,PREMIERE,1
58193,PRESTIGE,1
58195,PRESTIGIOUS,1
58519,PROACTIVE,1
58520,PROACTIVELY,1
58688,PROFICIENCY,1
58689,PROFICIENT,1
58690,PROFICIENTLY,1
58700,PROFITABILITY,1
58701,PROFITABLE,1
58702,PROFITABLY,1
58775,PROGRESS,1
58776,PROGRESSED,1
58777,PROGRESSES,1
58778,PROGRESSING,1
59117,PROSPERED,1
59118,PROSPERING,1
59120,PROSPERITY,1
59121,PROSPEROUS,1
59123,PROSPERS,1
61408,REBOUND,1
61409,REBOUNDED,1
61410,REBOUNDING,1
61536,RECEPTIVE,1
62584,REGAIN,1
62585,REGAINED,1
62586,REGAINING,1
64036,RESOLVE,1
64724,REVOLUTIONIZE,1
64725,REVOLUTIONIZED,1
64726,REVOLUTIONIZES,1
64727,REVOLUTIONIZING,1
64743,REWARD,1
64744,REWARDED,1
64745,REWARDING,1
64746,REWARDS,1
66501,SATISFACTION,1
66503,SATISFACTORILY,1
66504,SATISFACTORY,1
66505,SATISFIED,1
66506,SATISFIES,1
66507,SATISFY,1
66508,SATISFYING,1
70527,SMOOTH,1
70534,SMOOTHING,1
70535,SMOOTHLY,1
70538,SMOOTHS,1
71160,SOLVES,1
71161,SOLVING,1
71693,SPECTACULAR,1
71694,SPECTACULARLY,1
72484,STABILITY,1
72485,STABILIZATION,1
72486,STABILIZATIONS,1
72487,STABILIZE,1
72488,STABILIZED,1
72491,STABILIZES,1
72492,STABILIZING,1
72493,STABLE,1
73605,STRENGTH,1
73606,STRENGTHEN,1
73607,STRENGTHENED,1
73610,STRENGTHENING,1
73611,STRENGTHENS,1
73612,STRENGTHS,1
73736,STRONG,1
73739,STRONGER,1
73740,STRONGEST,1
74374,SUCCEED,1
74375,SUCCEEDED,1
74376,SUCCEEDING,1
74377,SUCCEEDS,1
74378,SUCCESS,1
74379,SUCCESSES,1
74380,SUCCESSFUL,1
74381,SUCCESSFULLY,1
74825,SUPERIOR,1
75064,SURPASS,1
75065,SURPASSED,1
75066,SURPASSES,1
75067,SURPASSING,1
78766,TRANSPARENCY,1
78969,TREMENDOUS,1
78970,TREMENDOUSLY,1
81520,UNMATCHED,1
81599,UNPARALLELED,1
82030,UNSURPASSED,1
82405,UPTURN,1
82408,UPTURNS,1
82699,VALUABLE,1
83119,VERSATILE,1
83121,VERSATILITY,1
83231,VIBRANCY,1
83232,VIBRANT,1
85283,WIN,1
85405,WINNER,1
85406,WINNERS,1
85407,WINNING,1
85942,WORTHY,1
